feature_set,model,split,threshold,accuracy,balanced_accuracy,f1,precision,recall,no_recall,yes_recall,true_no_pred_no,true_no_pred_yes,true_yes_pred_no,true_yes_pred_yes,C,class_weight,experiment_type
v1_yellow_related,logistic_c_0_1__no_1_2,validation,0.5,0.571917808219178,0.5508615343727852,0.6492048643592142,0.660952380952381,0.6378676470588235,0.463855421686747,0.6378676470588235,308,356,394,694,0.1,no_1_2,logistic_tuning
v1_yellow_related,logistic_c_0_1__yes_1_2,train,0.5,0.6516007532956686,0.6121158950463392,0.7416413373860182,0.6490294751976995,0.8650824070525105,0.359149383040168,0.8650824070525105,1368,2441,704,4514,0.1,yes_1_2,logistic_tuning
v1_yellow_related,logistic_c_0_1__yes_1_2,validation,0.5,0.6170091324200914,0.5469635896527285,0.7306302689682859,0.6486101211689237,0.8363970588235294,0.2575301204819277,0.8363970588235294,171,493,178,910,0.1,yes_1_2,logistic_tuning
v1_yellow_related,logistic_c_0_1__yes_1_4,train,0.5,0.6393043092943392,0.5892508020734415,0.7446675031367629,0.6302097159543403,0.9099271751628977,0.2685744289839853,0.9099271751628977,1023,2786,470,4748,0.1,yes_1_4,logistic_tuning
v1_yellow_related,logistic_c_0_1__yes_1_4,validation,0.5,0.6187214611872146,0.5348434177888023,0.7416860015467904,0.6401869158878505,0.8814338235294118,0.18825301204819278,0.8814338235294118,125,539,129,959,0.1,yes_1_4,logistic_tuning
v1_yellow_related,logistic_c_0_3__none,train,0.5,0.6631217458734906,0.639237212383855,0.7310991245910337,0.6787062879658513,0.7922575699501725,0.4862168548175374,0.7922575699501725,1852,1957,1084,4134,0.3,none,logistic_tuning
v1_yellow_related,logistic_c_0_3__none,validation,0.5,0.5896118721461188,0.5457399450744154,0.6875271621034333,0.6521022258862325,0.7270220588235294,0.3644578313253012,0.7270220588235294,242,422,297,791,0.3,none,logistic_tuning
v1_yellow_related,logistic_c_0_3__balanced,train,0.5,0.6488312839259998,0.6510857009799369,0.6769920521703688,0.7228024369016536,0.6366423917209659,0.6655290102389079,0.6366423917209659,2535,1274,1896,3322,0.3,balanced,logistic_tuning
v1_yellow_related,logistic_c_0_3__balanced,validation,0.5,0.5582191780821918,0.5545047838412474,0.6156901688182721,0.6695464362850972,0.5698529411764706,0.5391566265060241,0.5698529411764706,358,306,468,620,0.3,balanced,logistic_tuning
v1_yellow_related,logistic_c_0_3__no_1_2,train,0.5,0.6559211255123518,0.64697445510678,0.7029456771231829,0.7016036655211912,0.7042928325028747,0.5896560777106852,0.7042928325028747,2246,1563,1543,3675,0.3,no_1_2,logistic_tuning
v1_yellow_related,logistic_c_0_3__no_1_2,validation,0.5,0.5724885844748858,0.5527883593196314,0.6481916392672616,0.6628242074927954,0.6341911764705882,0.4713855421686747,0.6341911764705882,313,351,398,690,0.3,no_1_2,logistic_tuning
v1_yellow_related,logistic_c_0_3__yes_1_2,train,0.5,0.6568073557106459,0.6189589653763288,0.7437127729980145,0.6542940320232896,0.8614411651973937,0.3764767655552638,0.8614411651973937,1434,2375,723,4495,0.3,yes_1_2,logistic_tuning
v1_yellow_related,logistic_c_0_3__yes_1_2,validation,0.5,0.6113013698630136,0.5455959868887315,0.7230581537210248,0.6484318016046682,0.8170955882352942,0.2740963855421687,0.8170955882352942,182,482,199,889,0.3,yes_1_2,logistic_tuning
v1_yellow_related,logistic_c_0_3__yes_1_4,train,0.5,0.6428492300875153,0.5949046613591239,0.7448963443582846,0.634366576819407,0.9020697585281717,0.2877395641900761,0.9020697585281717,1096,2713,511,4707,0.3,yes_1_4,logistic_tuning
v1_yellow_related,logistic_c_0_3__yes_1_4,validation,0.5,0.6124429223744292,0.532429349751949,0.7344544387954635,0.639210347174949,0.8630514705882353,0.20180722891566266,0.8630514705882353,134,530,149,939,0.3,yes_1_4,logistic_tuning
v1_yellow_related,logistic_c_1_0__none,train,0.5,0.6621247369004098,0.6391191767978868,0.7290815420145674,0.6794701986754967,0.786508240705251,0.49173011289052243,0.786508240705251,1873,1936,1114,4104,1.0,none,logistic_tuning
