feature_set,model,split,score_type,score,count,rate
v1_score_related,dummy_mean,test,predicted,2:1,1749,1.0
v1_score_related,dummy_mean,train,actual,1:1,1095,0.1213027583914922
v1_score_related,dummy_mean,train,actual,1:0,809,0.08962002880248145
v1_score_related,dummy_mean,train,actual,2:1,807,0.08939847125290794
v1_score_related,dummy_mean,train,actual,0:1,653,0.0723385399357483
v1_score_related,dummy_mean,train,actual,2:0,653,0.0723385399357483
v1_score_related,dummy_mean,train,actual,1:2,641,0.0710091946383073
v1_score_related,dummy_mean,train,actual,0:0,601,0.06657804364683727
v1_score_related,dummy_mean,train,actual,2:2,474,0.05250913924891991
v1_score_related,dummy_mean,train,actual,0:2,455,0.05040434252797164
v1_score_related,dummy_mean,train,actual,3:1,377,0.04176359809460507
v1_score_related,dummy_mean,train,predicted,2:1,9027,1.0
v1_score_related,dummy_mean,validation,actual,1:1,213,0.12157534246575342
v1_score_related,dummy_mean,validation,actual,1:0,152,0.0867579908675799
v1_score_related,dummy_mean,validation,actual,2:1,133,0.07591324200913242
v1_score_related,dummy_mean,validation,actual,1:2,120,0.0684931506849315
v1_score_related,dummy_mean,validation,actual,2:0,120,0.0684931506849315
v1_score_related,dummy_mean,validation,actual,0:1,114,0.06506849315068493
v1_score_related,dummy_mean,validation,actual,0:0,112,0.0639269406392694
v1_score_related,dummy_mean,validation,actual,2:2,110,0.06278538812785388
v1_score_related,dummy_mean,validation,actual,0:2,80,0.045662100456621
v1_score_related,dummy_mean,validation,actual,3:1,80,0.045662100456621
v1_score_related,dummy_mean,validation,predicted,2:1,1752,1.0
v1_score_related,random_forest_reference,test,actual,1:1,215,0.12292738707833048
v1_score_related,random_forest_reference,test,actual,1:0,162,0.09262435677530018
v1_score_related,random_forest_reference,test,actual,2:1,147,0.08404802744425385
v1_score_related,random_forest_reference,test,actual,1:2,127,0.07261292166952545
v1_score_related,random_forest_reference,test,actual,0:1,124,0.07089765580331618
v1_score_related,random_forest_reference,test,actual,2:0,111,0.0634648370497427
v1_score_related,random_forest_reference,test,actual,2:2,106,0.06060606060606061
v1_score_related,random_forest_reference,test,actual,0:0,101,0.0577472841623785
v1_score_related,random_forest_reference,test,actual,0:2,101,0.0577472841623785
v1_score_related,random_forest_reference,test,actual,3:1,74,0.04230989136649514
v1_score_related,random_forest_reference,test,predicted,2:1,706,0.4036592338479131
v1_score_related,random_forest_reference,test,predicted,1:1,444,0.2538593481989708
v1_score_related,random_forest_reference,test,predicted,1:2,353,0.20182961692395654
v1_score_related,random_forest_reference,test,predicted,3:1,124,0.07089765580331618
v1_score_related,random_forest_reference,test,predicted,2:2,90,0.051457975986277875
v1_score_related,random_forest_reference,test,predicted,1:3,19,0.010863350485991996
v1_score_related,random_forest_reference,test,predicted,4:1,4,0.002287021154945683
v1_score_related,random_forest_reference,test,predicted,3:2,3,0.0017152658662092624
v1_score_related,random_forest_reference,test,predicted,2:0,2,0.0011435105774728416
v1_score_related,random_forest_reference,test,predicted,2:3,2,0.0011435105774728416
v1_score_related,random_forest_reference,train,actual,1:1,1095,0.1213027583914922
v1_score_related,random_forest_reference,train,actual,1:0,809,0.08962002880248145
v1_score_related,random_forest_reference,train,actual,2:1,807,0.08939847125290794
v1_score_related,random_forest_reference,train,actual,0:1,653,0.0723385399357483
